Restaurant,Address,Coordinates,Cusines
House of AnLi Bistro,163 Tanglin Road#03-17Tanglin Mall Singapore (247933),"1.305035, 103.823981","Modern European, Greek"
House of Kebab,21 Arab Street Singapore (199844),"1.3003495, 103.8597744","Vegetarian Friendly, BBQ, Turkish"
House of Seafood (Clarke Quay),3A River Valley Road#A2-02Clarke Quay Singapore (179020),"1.289583, 103.8450571","Chinese, Seafood, BBQ"
House of Seafood (Punggol Point),3 Punggol Point Road#01-01/02The Punggol Settlement Singapore (828694),"1.4209159, 103.9118806","Chinese, Seafood, Local, Dim Sum, Zi Char"
House on the Moon,1 Kim Seng Promenade #01-K101 & #02-K103 Singapore,"1.2937233, 103.8318946","Fusion, International"
Hua Ting,"442 Orchard Road Orchard Hotel Singapore, Level 2Singapore (238879)","1.3075, 103.8286111",Chinese
Hummus & Grill,23 Baghdad Street Singapore (199662),"1.3011848, 103.8597741","Middle Eastern, Vegetarian Friendly"
Humpback,18 Bukit Pasoh Road Singapore (089832),"1.2790902, 103.840797","Bar, Seafood, Vegetarian Friendly"
Hutong,3D River Valley Road#01-07Singapore (179023),"1.2958763, 103.8397125",Chinese
Hyang-To-Gol Korean Restaurant (Raffles City),252 North Bridge Road B1-74Raffles City Shopping Centre Singapore (179103),"1.293548, 103.853679","Korean, BBQ"
I am... (Haji Lane),674 North Bridge Road#01-01Singapore (188804),"1.3016511, 103.8584528","Cafe, Burgers"
IB HQ Singapore,76a Duxton Road Singapore (089535),"1.2782996, 103.8431688",Bar
Ice Edge Cafe (Kovan),2 Kovan Road#01-10Simon Plaza Singapore (548008),"1.3620806, 103.8852713","Cafe, Modern Asian"
Idle @ Infinite Studios,21 Media Circle#01-05Singapore (138562),"1.2922144, 103.7945491","American, Bar, Buffet, Fusion, Burgers"
Iggy's,581 Orchard Road Level 3Hilton Hotel Singapore (238883),"1.305891, 103.82942","International, Vegetarian Friendly"
IKKI Izakaya,"9 North Buona Vista Drive, #01-06/07Singapore (138588)","1.3057338, 103.7918068",Japanese
il Cielo,581 Orchard Road Level 24Hilton Singapore Singapore (238883),"1.3059187, 103.8293246","Italian, Vegetarian Friendly"
Imperi Health Pot,215 South Bridge Road Singapore (058764),"1.2829497, 103.8458899","Chinese, Steamboat"
In Piazza,30 Stevens Road#01-04/05Singapore (257840),"1.3139157, 103.8284694",Italian
Indian Curry House (Siglap),27 Upper East Coast Road Singapore (455211),"1.3130881, 103.9263173","Indian, Vegetarian Friendly"
Indian House (49 Boat Quay),49 Boat Quay Singapore (049838),"1.2869596, 103.8493865","Indian, Vegetarian Friendly"
Indigo Blue Kitchen,1 Scotts Road#03-09Shaw Centre Singapore (228208),"1.3062932, 103.8318472",Peranakan
Indline Restaurant,28 Keong Saik Road Singapore (089135),"1.2802067, 103.8416919","Bar, Buffet, Indian, Vegetarian Friendly"
Indocafe - The White House,35 Scotts Road Singapore (228227),"1.3110536, 103.8354912","Vegetarian Friendly, Peranakan"
IndoChine (CHIJMES),30 Victoria Street#01-21/22Singapore (187996),"1.2949219, 103.8526895","Bar, Thai, Vietnamese, Fusion, Local, Southeast Asian"
iO Italian Osteria Singapore,4 Hillview Rise#02-01Hill V2Singapore (667979),"1.3629834, 103.7645009","Bar, Italian, Vegetarian Friendly, Pizza"
Ippoh Tempura Bar,17B Dempsey Road Singapore (249676),"1.3056641, 103.8102429",Japanese
Issho Izakaya (Great World City),1 Kim Seng Promenade#01-123Great World City Singapore (237994),"1.2936417, 103.8319293",Japanese
Istanblue Meze & Grill Turkish Restaurant,17 Baghdad Street Singapore (199656),"1.3012406, 103.8595939","Middle Eastern, Greek"
Isuramuya Japanese Restaurant and Marketplace,2 Jurong East Central 1#04-19J Cube Singapore (609731),"1.33331, 103.7401992","Japanese, Halal Certified"
Izakaya Hikari,190 Middle Road#03-01Fortune Centre Singapore (188979),"1.3004744, 103.8520542",Japanese
Izy Fook,27 Club Street Singapore (069413),"1.2824263, 103.846543","Bar, Local, Southeast Asian, Modern Asian"
J Bar,81 Anson Road Level 9M Hotel Singapore Singapore (079908),"1.273767, 103.8450399","American, Bar"
J65 @ Hotel Jen Tanglin,1A Cuscaden Road Level 1Hotel Jen Tanglin Singapore Singapore (249716),"1.304358, 103.82392","Buffet, Chinese, Malaysian, International, Seafood, All-Day Breakfast, Local, Southeast Asian"
Jade,"1 Fullerton Square, Singapore (049178)","1.2862279, 103.8530525",Chinese
Jag Wine,384 East Coast Road Singapore (428988),"1.3087041, 103.9114684","Modern European, Spanish, Vegetarian Friendly"
Jamie's Italian (Forum),583 Orchard Road#01-01/04Forum The Shopping Mall Singapore (238884),"1.3061111, 103.8286111","Bar, Italian, Vegetarian Friendly"
Jekyll & Hyde,74 Neil Road Singapore (088839),"1.2798303, 103.8424746","Bar, Fusion, Local, Modern Asian"
Jia He Chinese Restaurant,1 Farrer Park Station Road#01-14/15/16One Farrer Hotel Connexion Singapore (217562),"1.3125457, 103.8543732","Chinese, Seafood, Vegetarian Friendly, Local, Dim Sum"
Jia He Xing Dumpling 嘉合兴,6 Raffles Boulevard#03-128Marina Square Singapore (039594),"1.2911534, 103.8576778","Chinese, Vegetarian Friendly, Local, Southeast Asian, Modern Asian"
Jia Wei Chinese Restaurant,50 East Coast Road Roxy Square Singapore,"1.3039864, 103.9043811","Chinese, Vegetarian Friendly, Local"
Jiak Modern Tzechar (Esplanade),8 Raffles Avenue#02-14Esplanade Mall Singapore (039802),"1.2893743, 103.8558855",Chinese
Jiak Modern Tzechar (Hillview),4 Hillview Rise#02-04Hillv2Singapore (667979),"1.363354, 103.7643204","Chinese, Malaysian, Seafood, Vegetarian Friendly, Local, Halal Certified, Zi Char"
Jiang-Nan Chun Restaurant,190 Orchard Boulevard Level 2Four Seasons Hotel Singapore Singapore (248646),"1.3052778, 103.8283333","Chinese, Seafood, Dim Sum"
Jigger & Pony,165 Tanjong Pagar Road Amara Singapore Singapore (088539),"1.2747537, 103.8435337",Bar
Jim Thompson Thai Restaurant and Wine Bar,45 Minden Road Singapore (248817),"1.3055206, 103.8155129",Thai
Jimoto Dining,9 King Albert Park#01-27Singapore (598332),"1.3370239, 103.7794324",Japanese
Jin Fine Dining,76 Telok Ayer Street#01-02Amoy Hotel Singapore (048464),"1.2829731, 103.8487244",Japanese
JING Seafood Restaurant,"1 Fullerton Road, #01-02/03, One Fullerton, Singapore (049213)","1.2856406, 103.8539179","Chinese, Seafood, Local, Dim Sum, Zi Char"
Jinjo,1 Scotts Road#02-19/20Shaw Centre Singapore (228208),"1.3064372, 103.8316534","Bar, Japanese, BBQ"
Joo Bar,5 Tan Quee Lan Street Singapore (188094),"1.2981769, 103.8569231","Bar, Korean, Vegetarian Friendly"
JTSH Cafe,391A Orchard Road#02-13Takashimaya Singapore (238873),"1.3025572, 103.834568","American, Vegetarian Friendly, Halal Certified, Cafe, Pizza"
JUMBO Seafood (Dempsey Hill),Block 11 Dempsey Road#01-16Singapore (249673),"1.3043337, 103.8099395","Chinese, Seafood, Local, Zi Char"
JUMBO Seafood (East Coast Seafood Centre),Blk 1206 East Coast Parkway#01-07/08East Coast Seafood Centre Singapore (449883),"1.3051669, 103.930673","Chinese, Seafood, Local, Zi Char"
JUMBO Seafood (ION Orchard),2 Orchard Turn#04-09/10ION Orchard Singapore (238801),"1.3039288, 103.8319512","Chinese, Seafood, Local, Dim Sum"
JUMBO Seafood (Jewel Changi Airport),"78 Airport Boulevard#03-202, 203 & 204Jewel Changi Airport Singapore (819666)","1.3583193, 103.9889212","Chinese, Seafood, Local"
JUMBO Seafood (Riverside Point),30 Merchant Road#01-01/02Riverside Point Singapore (058282),"1.2889419, 103.8446997","Chinese, Seafood, Local, Zi Char"
JUMBO Seafood (The Riverwalk),20 Upper Circular Road#B1-48The Riverwalk Singapore (058416),"1.2891375, 103.8483462","Chinese, Seafood, Local, Zi Char"
Jun BBQ & Beer,20 Biopolis Way#01-01Centros Singapore (138668),"1.3037881, 103.7921115","Korean, BBQ"
Jurassic World Cafe Singapore,"2 Orchard Turn Level 56, ION Sky Singapore (238801)","1.304052, 103.831767","Malaysian, Fusion, Local, Cafe, Burgers"
JustIN Flavours of Asia,2 Bayfront Avenue L1-83The Shoppes at Marina Bay Sands Singapore (018972),"1.2837366, 103.8591923","Chinese, Local, Modern Asian"
JW360 Suju Masayuki Japanese Restaurant,"78 Airport Boulevard#01-223,224/225Singapore (819666)","1.3603912, 103.989642",Japanese
JYPSY Martin Road,38A Martin Road#01-02Singapore (239072),"1.2921214, 103.8380038","Japanese, Seafood"
JÙN Restaurant,"181 South Bridge Road#02-01Capri by Fraser, China Square Singapore (058743)","1.2835222, 103.8469123","Buffet, Chinese, International, Seafood, All-Day Breakfast"
Ka-Soh (Outram),2 College Road Singapore (169850),"1.2824347, 103.836047","Chinese, Vegetarian Friendly"
Kabuke,200A Telok Ayer Street Singapore (068638),"1.2802066, 103.8471007","Bar, Japanese, Modern Asian"
Kai Garden (Marina Square),6 Raffles Boulevard#03-128A/128B Marina Square Singapore (039594),"1.2905266, 103.8575364","Chinese, Seafood, Dim Sum"
Kam's Roast (Jewel Changi Airport),78 Airport Boulevard#02-210Jewel Changi Airport Singapore (819666),"1.3603912, 103.989642",Chinese
Kam's Roast (Pacific Plaza),9 Scotts Road#01-04/05/06/07Pacific Plaza Singapore (228210),"1.3064965, 103.8319905","Chinese, Southeast Asian"
Kan Sushi (Robertson Quay),30 Robertson Quay#01-54Singapore (238251),"1.291333, 103.8414166",Japanese
Kan Sushi (Tanjong Pagar),10 Anson Road#02-54International Plaza Singapore (079903),"1.2756998, 103.8458098",Japanese
KANPAI Izakaya & Bar,40 Lorong Mambong Singapore (277695),"1.311763, 103.794398",Japanese
KARA Cafe & Dessert Bar,617 Bukit Timah Road Singapore (269718),"1.3244258, 103.8092981","American, Vegetarian Friendly, Cafe"
Katachi Style Sushi,15 Stamford Road#01-83Singapore (178905),"1.2934493, 103.8518286","Japanese, Seafood"
Katong Kitchen,25 Marine Parade Road Village Hotel Katong Level 4Singapore (449536),"1.3037177, 103.9029408","Buffet, Chinese, Malaysian, Seafood, Local, Peranakan, Halal Certified"
Kausmo,1 Scotts Road#03-07Shaw Centre Singapore 228208,"1.3063434, 103.8318606","Modern European, Local, Southeast Asian"
Kazbar,25 Church Street#01-03Capital Square Singapore (049482),"1.2840326, 103.8484637","Middle Eastern, Vegetarian Friendly"
Keef The Beef,200 Turf Club Road#01-12 The Grandstand Singapore (287994),"1.3380084, 103.7934418","Bar, Steakhouse, Cafe"
Kelly Jie Seafood (Formerly TPY Mellben),Blk 211 Toa Payoh Lorong 8#01-11/15Singapore (310211),"1.340419, 103.8537637","Chinese, Seafood, Zi Char"
Keyaki,7 Raffles Boulevard Level 4Pan Pacific Singapore Singapore (039595),"1.2924176, 103.8585852",Japanese
Khansama Tandoori Restaurant,166 Serangoon Road Singapore (218050),"1.3081446, 103.8530341",Indian
Khansama Tandoori Village,87 Science Park Drive#02-01The Oasis Singapore (118260),"1.2877321, 103.7903725",Indian
Ki-Sho,29 Scotts Road Singapore (228224),"1.3106807, 103.8346232",Japanese
Kilo Kitchen,97 Duxton Road Singapore (089541),"1.2794847, 103.8432495","Fusion, Vegetarian Friendly"
Kin,31 Bukit Pasoh Road Singapore (089845),"1.279295, 103.840375","Local, Southeast Asian, Peranakan"
Kin-D,35 Circular Road Singapore (049391),"1.2865665, 103.8491271","Bar, Thai, Seafood"
King and the Pawn,24 Purvis Street Level 2Singapore (188601),"1.296154, 103.855399","American, Bar, Cafe"
King Ohmii,11 Unity Street#01-18/29Robertson Walk Singapore (237995),"1.291844, 103.8411449","Bar, Modern European"
King's Laksa Steamboat,17 Teck Chye Terrace Singapore (545724),"1.3532582, 103.876565","Buffet, Chinese, Seafood, Local, Steamboat"
Kinki Restaurant,70 Collyer Quay#02-02 Customs House Singapore (049323),"1.2824913, 103.8534753","Bar, Japanese, Vegetarian Friendly"
Kinou,81 Tras Street Singapore (079020),"1.2773537, 103.8443252","Bar, French, Fusion, International"
Kintamani Indonesian Restaurant,405 Havelock Road Level 3Furama River Front Singapore Singapore (169633),"1.28774, 103.8359909","Buffet, Indonesian, Halal Certified"
Kitchen by Food Rebel,28 Stanley Street Singapore (068737),"1.2809429, 103.848283","All-Day Breakfast, Vegetarian Friendly, Local, Cafe"
the kitchen table (W Singapore – Sentosa Cove),21 Ocean Way W Singapore Sentosa Cove Singapore (098374),"1.2462857, 103.8423347","Buffet, International, Seafood"
Kith Cafe (Ascott Orchard),11 Cairnhill Road#01-01Ascott Orchard Singapore Singapore (229724),"1.3032547, 103.837268","Vegetarian Friendly, Cafe"
Kith Cafe (Bukit Timah),619D Bukit Timah Road Singapore (269724),"1.3244783, 103.8092231","Australian, Cafe"
Kith Cafe (Millenia Walk),9 Raffles Boulevard#01-44/45Millenia Walk Singapore (039596),"1.2921214, 103.8595792","All-Day Breakfast, Cafe"
Kiyoshi Japanese Restaurant,75 Amoy Street Singapore (069894),"1.2803924, 103.8467764",Japanese
Kko Kko Na Ra (Tanjong Pagar),68 Tanjong Pagar Singapore (088489),"1.2787992, 103.8437687",Korean
Knockhouse Cafe,185 Upper Thomson Road Singapore (574333),"1.3514312, 103.8353286",Cafe
The Knolls,"1 The Knolls, Sentosa Island Singapore (098297)","1.249141, 103.8248866",Modern European
Knots Cafe and Living,160 Paya Lebar Road#01-07Orion@Paya Lebar Singapore (409022),"1.3293132, 103.8901747","All-Day Breakfast, Cafe"
KOB - Kingdom of Belgians,8 Rodyk Street#01-05/06Singapore (238216),"1.2902204, 103.8376575","Bar, Modern European, Cafe"
Koh Nangkam,4 & 6 Jalan Kledek Singapore (199261),"1.3035759, 103.8591077",Thai
Koji Sushi Bar (Pickering Street),3 Pickering Street#01-42Nankin Row Singapore (048660),"1.2844559, 103.8471133",Japanese
Koji Sushi Bar (Raffles City),252 North Bridge Road#03-28A Raffles City Shopping Centre Singapore (179103),"1.2937585, 103.8534331",Japanese
KOMA Singapore,2 Bayfront Avenue#B1-67Marina Bay Sands Singapore (018972),"1.2836602, 103.8592707","Bar, Japanese, Vegetarian Friendly"
KOMYUNITI,366 Orchard Road Level 10YOTEL Singapore Singapore (238904),"1.3064431, 103.8319819","Bar, Fusion, International, Vegetarian Friendly"
Kontiki,11 Rhu Cross#01-02Singapore (437440),"1.2950157, 103.8673318","American, Bar, Buffet, Italian, Seafood, Steakhouse, Vegetarian Friendly"
Kopi Tiam,"2 Stamford Road Level 2, Swissotel The Stamford,Singapore (178882)","1.2932771, 103.8535076",Local
Korean Fusion BBQ (Dunlop Street),5 Dunlop Street#02-00Singapore (209335),"1.3043556, 103.8541612","Korean, Fusion, BBQ"
Kotuwa,2 Dickson Road Wanderlust Hotel Singapore (209494),"1.3051497, 103.854646",Indian
Kumoya @ Jalan Klapa,8 Jalan Klapa Singapore (199320),"1.3042989, 103.8599996","Cafe, Dessert Only"
Kumoya @ Orchard Central,181 Orchard Road#04-08Orchard Central Singapore (238896),"1.3006295, 103.8398742","Cafe, Dessert Only"
Kurama Robatayaki X Sushi Murasaki,9 Raffles Boulevard#02-07Millenia Walk Singapore (039596),"1.2928181, 103.8598344","Bar, Japanese"
Kure Menya @ Frasers Tower,182 Cecil Street#02-11Frasers Tower Singapore (069547),"1.2786632, 103.8474008",Japanese
Kuriya Dining,1 Kim Seng Promenade#01-127Great World City Singapore (237934),"1.2936417, 103.8319293",Japanese
Kurry Korner (River Valley),417 River Valley Road Singapore (248316),"1.2952425, 103.8296334",Indian
Kushi Japanese Dining,526 Macpherson Road Singapore (368216),"1.3324779, 103.8843435","Bar, Buffet, Japanese"
Kwee Zeen (Sofitel Sentosa),Sofitel Singapore Sentosa Resort & Spa2 Bukit Manis Road Sentosa Singapore (099891),"1.2456916, 103.8278754","Buffet, Chinese, International, Seafood, Vegetarian Friendly, Southeast Asian"
Kyoaji Dining,111 Somerset Road#02-05/06Singapore (238164),"1.3001685, 103.8372952",Japanese
Kyoten Japanese Cuisine,5 Yong Siak Street Singapore (168643),"1.2824797, 103.830423","Japanese, Seafood"
Kyuu by Shunsui,29 Keong Saik Road Singapore (089136),"1.2799914, 103.8414329",Japanese
L'Angelus,85 Club Street Singapore (069453),"1.2817018, 103.8456841",French
L'Entrecôte The Steak & Fries Bistro (Customs House),70 Collyer Quay#01-01Customs House Singapore (049323),"1.2824913, 103.8534753",French
L'Entrecôte The Steak & Fries Bistro (Duxton),36 Duxton Hill Singapore (089614),"1.2784789, 103.8428048","French, Steakhouse"
L'éclair Pâtisserie,190 Clemenceau Avenue #01-28 Singapore Shopping Centre Singapore (239924),"1.298267, 103.844008","French, Cafe, Dessert Only"
La Bonne Table,214 East Coast Road Singapore (428913),"1.307333, 103.907265","Bar, French, Italian, Cafe"
La Braceria,5 Greendale Ave Singapore (289501),"1.3317936, 103.8071613",Italian
La Brasserie,80 Collyer Quay Lobby Level The Fullerton Bay Hotel Singapore (049326),"1.2832383, 103.8536272","Modern European, French"
La Dame de Pic,1 Beach Road Raffles Hotel Singapore Singapore (189673),"1.2948829, 103.8544791",French
La Jiang Shan Hotpot,35 Selegie Road#01-06Parklane Shopping Mall Singapore (188307),"1.3006866, 103.8493616","Chinese, Steamboat"
La Maison du Whisky,80 Mohamad Sultan Road#01-10The Pier @ Robertson Quay Singapore (239013),"1.2918135, 103.8406509",Bar
La Nonna (Holland Village),26/26B Lorong Mambong Singapore (277685),"1.3116818, 103.7948547","Italian, Vegetarian Friendly"
La Pasteleria Kitchen and Bar,81A Clemenceau Ave#01-22UE Square Singapore (239917),"1.2921679, 103.8426697","Bar, Spanish, Cafe"
La Pizzaiola (Delivery),19 Kalidasa Avenue Singapore,"1.3814902, 103.8297208",Italian
La Pizzeria at Bridge and Beacon Bar,52 West Coast Ferry Road Level 2Singapore (126887),"1.2926833, 103.7626794","Italian, Vegetarian Friendly, Pizza"
La Salsa,11 Dempsey Road#01-17Singapore (249673),"1.3042341, 103.8100792",Mexican
La Scala Ristorante (The Capitol Kempinski Hotel Singapore),13 Stamford Road Arcade @ The Capitol Kempinski Singapore (178906),"1.293891, 103.8513613",Italian
La Strada,1 Scotts Road#01-13Shaw Centre Singapore (228208),"1.3062932, 103.8318472",Italian
La Tapería Wine & Tapas,1 Scotts Road#02-18Shaw Centre Singapore (228208),"1.3062932, 103.8318472",Spanish
LaBrezza (The St. Regis Singapore),29 Tanglin Road Level 2The St. Regis Singapore Singapore (247911),"1.3055457, 103.8260886","Italian, Vegetarian Friendly"
Lafiandra Ristorante,56 Tanglin Road#B1-01Singapore (247964),"1.3056253, 103.8229393","Italian, Seafood, Pizza"
Lagnaa... barefoot dining,6 Upper Dickson Road Singapore (207466),"1.3063671, 103.852261",Indian
Lai Bao Fish Head Steamboat 徕寶鱼头炉,Blk 168 Lor 1 Toa Payoh#01-1040Singapore (310168),"1.3319248, 103.8434952","Chinese, Malaysian, Seafood, Vegetarian Friendly, Local, Steamboat, Zi Char, Modern Asian"
The Landing Point,80 Collyer Quay Lobby Level The Fullerton Bay Hotel Singapore (049326),"1.2832383, 103.8536272",Bar
The Landmark,390 Victoria Street#05-01Village Hotel Bugis Singapore (188061),"1.3023045, 103.8578797","Buffet, Indian, Seafood, Vegetarian Friendly, Local, Halal Certified"
